gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000117650,213.6913712,-0.643969538,0.225891808,-2.850787479,0.004361111,0.090659987,2.187691391,NEK2,4751,-0.215602355,Down*
ENSG00000118193,267.5053763,-0.754106965,0.243679732,-3.094664289,0.001970358,0.056167173,2.017914586,KIF14,9928,-0.313101106,Down*
ENSG00000118557,93.56549872,-0.951041239,0.320603342,-2.96641087,0.003012977,0.073782949,2.078494794,PMFBP1,83449,-0.279270094,Down*
ENSG00000119514,153.8386087,-0.631299544,0.210851116,-2.994053609,0.002752976,0.066888636,2.187691391,GALNT12,79695,-0.257367132,Down*
ENSG00000119541,684.9542202,0.462699665,0.134288352,3.445568118,0.00056986,0.041432905,0.890250356,VPS4B,9525,0.312098143,Up*
ENSG00000119547,3559.976816,-1.701691862,0.408906721,-4.161564906,3.16074E-05,0.005012588,0.678930682,ONECUT2,9480,-1.372776427,Down*
ENSG00000119632,168.3794839,0.614411772,0.204542358,3.003836358,0.002665987,0.066335609,2.154407114,IFI27L2,83982,0.257160276,Up*
ENSG00000120328,186.6350598,0.748762793,0.168419203,4.445827908,8.7554E-06,0.000687528,2.017914586,PCDHB12,56124,0.64296141,Up*
ENSG00000121089,20.65383859,-1.386888257,0.439218184,-3.157629413,0.001590576,0.090391789,0.803157611,NACA3P,389240,-0.423848428,Down*
ENSG00000121207,265.6212654,1.049409614,0.326402645,3.215076926,0.001304096,0.062953007,1.132156386,LRAT,9227,0.407920267,Up*
ENSG00000122126,2287.777665,0.260443549,0.083020182,3.137111259,0.001706214,0.08375042,0.971773344,OCRL,4952,0.155309287,Up*
ENSG00000122547,60.22696679,0.962258904,0.300133736,3.206100447,0.00134547,0.041499889,2.078494794,EEPD1,80820,0.391106273,Up*
ENSG00000122674,1049.873967,-0.383685769,0.093174756,-4.117915444,3.82315E-05,0.010064069,0.359174829,CCZ1,51622,-0.325661432,Down*
ENSG00000122824,491.4163077,0.266884051,0.081148954,3.288816915,0.001006094,0.061673301,0.902601561,NUDT10,170685,0.173051145,Up*
ENSG00000123473,200.17501,-0.711983956,0.249203132,-2.857042569,0.004276085,0.090429009,2.154407114,STIL,6491,-0.224345741,Down*
ENSG00000123496,53.67127693,1.508861325,0.322560595,4.67776086,2.90024E-06,0.000251239,2.154407114,IL13RA2,3598,1.331514106,Up*
ENSG00000123728,1070.592643,0.453765213,0.103619379,4.379153942,1.19141E-05,0.0038584,0.359174829,RAP2C,57826,0.401622475,Up*
ENSG00000123901,84.98306328,0.740502568,0.228034442,3.247327735,0.001164942,0.03817603,2.017914586,GPR83,10888,0.369939383,Up*
ENSG00000124104,209.20893,0.417557378,0.120481977,3.465724819,0.000528804,0.020031356,2.078494794,SNX21,90203,0.287291979,Up*
ENSG00000125618,12.87109416,3.77068481,0.816256779,4.619483606,3.84696E-06,0.000455958,1.446071393,PAX8,7849,3.266570003,Up*
ENSG00000125675,314.5049047,0.619666209,0.18465838,3.355743773,0.000791519,0.052832055,0.890250356,GRIA3,2892,0.369268662,Up*
ENSG00000125868,2974.806206,0.341409909,0.085733029,3.982244784,6.82674E-05,0.007253924,0.971773344,DSTN,11034,0.280705676,Up*
ENSG00000125885,387.4775579,-0.663483339,0.168670578,-3.933604469,8.36814E-05,0.009108734,0.890250356,MCM8,84515,-0.52725399,Down*
ENSG00000125931,80.93106634,0.492622961,0.17127909,2.876141867,0.004025687,0.08888595,2.078494794,CITED1,4435,0.196050229,Up*
ENSG00000126012,3727.141584,0.47493401,0.134808638,3.523023583,0.000426653,0.031818951,0.941042546,KDM5C,8242,0.33388515,Up*
ENSG00000126803,31.71214477,1.331652521,0.33961158,3.921104574,8.8144E-05,0.004108965,2.43456659,HSPA2,3306,0.937425884,Up*
ENSG00000126947,1111.327961,-0.914614526,0.222177188,-4.116599619,3.84503E-05,0.010064069,0.359174829,ARMCX1,51309,-0.719561679,Down*
ENSG00000127903,58.0508369,3.050897949,0.528840074,5.769036989,7.97258E-09,1.22331E-06,2.078494794,ZNF835,90485,2.884927005,Up*
ENSG00000128739,3733.95496,0.337731612,0.076883711,4.392758957,1.11921E-05,0.001593895,0.941042546,SNRPN,6638,0.295074177,Up*
