Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
ARHGAP24,83478,-0.74,5.99E-04,-1.95,2.33E-03
C1orf182,128229,-0.73,1.21E-03,-1.35,1.51E-03
CYP2J2,1573,-0.73,1.76E-04,-1.81,2.36E-03
ECEL1,9427,-0.73,7.93E-04,-3.53,1.50E-03
SCD,6319,-0.73,2.43E-04,-1.90,1.85E-03
NEK7,140609,-0.73,1.25E-04,-1.51,1.62E-03
C20orf26,26074,-0.73,1.28E-03,-2.13,1.74E-03
PRKCDBP,112464,-0.73,2.43E-04,-1.43,2.84E-03
EDNRB,1910,-0.73,3.62E-04,-2.31,2.63E-03
FN1,2335,-0.73,3.72E-04,-1.69,2.32E-03
MAB21L2,10586,-0.73,4.61E-03,-2.90,2.00E-03
COL8A2,1296,-0.73,1.12E-03,-2.24,2.79E-03
ANXA2,302,-0.73,8.24E-04,-2.77,1.91E-03
LRRC63,220416,-0.73,5.28E-04,-1.61,1.52E-03
SCIN,85477,-0.73,5.60E-04,-2.40,5.62E-04
AASS,10157,-0.73,1.34E-04,-1.51,1.04E-03
CCDC152,100129792,-0.73,3.32E-04,-1.80,5.97E-04
LPAR6,10161,-0.73,5.28E-04,-1.47,4.01E-04
RPS6KA1,6195,-0.73,8.00E-04,-1.39,1.60E-03
NKAPP1,158801,-0.73,4.93E-04,-1.44,1.46E-03
VAT1L,57687,-0.73,2.57E-04,-2.53,1.45E-03
CXCL3,2921,-0.73,1.56E-03,-1.74,1.63E-03
CD44,960,-0.73,1.54E-03,-3.13,2.34E-03
RBMS1,5937,-0.73,2.58E-04,-1.47,9.57E-04
IFI30,10437,-0.73,1.07E-03,-1.73,1.93E-03
TGFBR3,7049,-0.72,7.05E-04,-1.58,2.64E-03
LGALS9C,654346,-0.72,1.51E-04,-1.46,1.66E-03
EPS8,2059,-0.72,4.97E-04,-1.39,1.67E-03
CARD8,22900,-0.72,7.05E-04,-1.40,1.60E-03
MRPL45P2,653479,-0.72,3.12E-03,-1.82,5.97E-04
KCNQ1DN,55539,-0.72,3.43E-04,-2.35,2.87E-03
STK32A,202374,-0.72,2.94E-04,-2.28,1.74E-03
ADCY8,114,-0.72,1.57E-03,-1.44,2.07E-03
GALNTL2,117248,-0.72,2.67E-04,-2.02,1.93E-03
STAC,6769,-0.72,4.37E-04,-2.56,1.51E-03
HMG20B,10362,-0.72,8.06E-04,-1.33,6.87E-04
C4orf31,79625,-0.72,4.80E-04,-3.23,1.64E-03
SLC22A13,9390,-0.72,1.03E-03,-2.86,1.66E-03
LIPG,9388,-0.72,7.00E-04,-2.49,1.79E-03
CXCR4,7852,-0.72,1.77E-04,-1.84,5.51E-04
ELOVL5,60481,-0.72,3.23E-04,-1.48,1.22E-03
B3GAT2,135152,-0.72,3.84E-04,-2.24,1.39E-03
PTPRC,5788,-0.72,5.27E-03,-1.68,2.15E-03
POLR2J2,246721,-0.72,8.34E-04,-1.45,2.61E-03
FAM114A1,92689,-0.72,1.14E-04,-1.48,1.33E-03
HIST2H2AC,8338,-0.72,2.26E-03,-1.42,2.11E-03
ERG,2078,-0.72,9.18E-05,-1.58,1.39E-03
ANKRD34B,340120,-0.72,7.46E-04,-2.73,2.93E-03
OR2A9P,441295,-0.72,6.41E-04,-2.09,1.04E-03
VGLL3,389136,-0.71,7.24E-04,-2.80,1.20E-03
EVI2B,2124,-0.71,9.05E-04,-1.63,3.89E-04
CLCN5,1184,-0.71,7.34E-04,-1.72,1.58E-03
EBF1,1879,-0.71,3.16E-04,-2.43,2.29E-04
NKX3-1,4824,-0.71,8.35E-04,-1.49,5.26E-04
RASSF8,11228,-0.71,1.86E-03,-1.41,1.13E-03
ARHGAP15,55843,-0.71,6.19E-03,-1.99,2.17E-03
PKIB,5570,-0.71,5.40E-04,-2.10,1.98E-03
VANGL2,57216,-0.71,3.42E-04,-1.78,2.89E-03
GBX2,2637,-0.71,8.53E-04,-2.54,2.36E-03
SLC20A2,6575,-0.71,9.78E-04,-1.97,2.12E-03
LOC100131082,100131082,-0.71,5.14E-04,-1.61,2.31E-03
RP11-446H18.3,344595,-0.71,1.09E-04,-1.92,3.89E-04
LRRC46,90506,-0.71,8.30E-04,-1.58,7.49E-04
MAML2,84441,-0.71,5.58E-04,-1.76,1.04E-03
NRARP,441478,-0.71,5.09E-04,-1.44,2.25E-03
FRYL,285527,-0.71,3.18E-04,-1.33,2.71E-03
NFATC4,4776,-0.71,2.63E-03,-1.49,2.35E-03
ZNF157,7712,-0.71,3.84E-04,-2.12,8.94E-04
HLA-DPA1,3113,-0.71,3.93E-03,-1.80,2.74E-03
ANLN,54443,-0.70,3.05E-04,-2.56,9.07E-04
REST,5978,-0.70,2.55E-04,-1.49,1.55E-03
LIFR,3977,-0.70,9.91E-04,-1.45,2.99E-03
NKX2-2,4821,-0.70,5.50E-04,-2.06,9.42E-04
SCGB1D1,10648,-0.70,8.36E-04,-2.60,1.74E-03
F2RL2,2151,-0.70,2.34E-04,-2.96,1.35E-03
DLEC1,9940,-0.70,3.06E-04,-2.33,1.58E-03
AKR1C4,1109,-0.70,2.80E-03,-1.54,2.42E-03
CHD7,55636,-0.70,3.25E-04,-1.55,7.49E-04
EDIL3,10085,-0.70,2.50E-04,-1.33,6.84E-04
LOC100292909,100292909,-0.70,6.17E-04,-2.82,1.17E-03
SLFN5,162394,-0.70,4.26E-04,-1.42,1.35E-03
SLC19A3,80704,-0.70,4.46E-04,-1.61,1.81E-03
EMB,133418,-0.70,9.44E-04,-1.67,1.21E-03
RP11-79P5.6,2297,-0.70,3.69E-04,-1.37,1.32E-03
CCDC141,285025,-0.70,5.06E-04,-2.25,2.28E-03
HOMEZ,57594,-0.70,3.68E-04,-1.35,1.34E-03
TES,26136,-0.70,7.19E-04,-2.43,1.05E-03
INPP5D,3635,-0.69,9.34E-04,-1.50,2.15E-03
